+++
RED:UKNet.rut
********************************************************
********************************************************
Probablidad de Bloqueo por usuario con 12 Long. de Onda:
Probablidad de Bloqueo total de la Red: 0.001364
********************************************************
Origen	Destino	Prob.Bloqueo	Saltos
********************************************************
0	0	NO TIENE
0	1	0.000000	1.000000
0	2	0.000000	1.000000
0	3	0.000000	1.000000
0	4	0.000000	2.000000
0	5	0.000000	1.000000
0	6	0.000000	2.000000
0	7	0.000000	1.000000
0	8	0.000254	2.000000
0	9	0.003497	2.000000
0	10	0.004692	3.000000
0	11	0.002923	4.000000
0	12	0.002961	3.000000
0	13	0.003343	1.000000
0	14	0.004466	2.000000
0	15	0.001264	3.000000
0	16	0.003772	3.000000
0	17	0.002012	4.000000
0	18	0.000000	2.000000
0	19	0.000000	1.000000
0	20	0.001828	2.000000
1	0	0.000000	1.000000
1	1	NO TIENE
1	2	0.000000	1.000000
1	3	0.000000	2.000000
1	4	0.000000	3.000000
1	5	0.000000	2.000000
1	6	0.000000	3.000000
1	7	0.000000	2.000000
1	8	0.000084	3.000000
1	9	0.003172	3.000000
1	10	0.005105	4.000000
1	11	0.003656	5.000000
1	12	0.004334	4.000000
1	13	0.003192	2.000000
1	14	0.004716	3.000000
1	15	0.004168	4.000000
1	16	0.004829	4.000000
1	17	0.003355	5.000000
1	18	0.000000	1.000000
1	19	0.000000	2.000000
1	20	0.004326	3.000000
2	0	0.000000	1.000000
2	1	0.000000	1.000000
2	2	NO TIENE
2	3	0.000000	2.000000
2	4	0.000000	3.000000
2	5	0.000000	2.000000
2	6	0.000000	3.000000
2	7	0.000000	2.000000
2	8	0.002267	2.000000
2	9	0.003007	3.000000
2	10	0.006341	3.000000
2	11	0.005613	4.000000
2	12	0.004682	4.000000
2	13	0.003119	2.000000
2	14	0.003834	3.000000
2	15	0.003777	3.000000
2	16	0.005235	4.000000
2	17	0.004290	4.000000
2	18	0.000000	1.000000
2	19	0.001516	1.000000
2	20	0.003596	2.000000
3	0	0.000000	1.000000
3	1	0.000000	2.000000
3	2	0.000000	2.000000
3	3	NO TIENE
3	4	0.000000	1.000000
3	5	0.000000	1.000000
3	6	0.000168	1.000000
3	7	0.000000	2.000000
3	8	0.003768	2.000000
3	9	0.003322	3.000000
3	10	0.006934	3.000000
3	11	0.006824	4.000000
3	12	0.005693	4.000000
3	13	0.004038	2.000000
3	14	0.004671	3.000000
3	15	0.006198	3.000000
3	16	0.006959	4.000000
3	17	0.006437	4.000000
3	18	0.000000	1.000000
3	19	0.000000	2.000000
3	20	0.002002	3.000000
4	0	0.000000	2.000000
4	1	0.000000	3.000000
4	2	0.000000	3.000000
4	3	0.000000	1.000000
4	4	NO TIENE
4	5	0.000000	1.000000
4	6	0.000084	2.000000
4	7	0.001673	2.000000
4	8	0.003057	3.000000
4	9	0.006623	3.000000
4	10	0.004678	4.000000
4	11	0.005597	5.000000
4	12	0.005192	4.000000
4	13	0.002933	3.000000
4	14	0.004217	4.000000
4	15	0.007059	4.000000
4	16	0.004942	5.000000
4	17	0.007163	5.000000
4	18	0.000000	2.000000
4	19	0.000000	3.000000
4	20	0.002198	4.000000
5	0	0.000000	1.000000
5	1	0.000000	2.000000
5	2	0.000000	2.000000
5	3	0.000000	1.000000
5	4	0.000000	1.000000
5	5	NO TIENE
5	6	0.000000	2.000000
5	7	0.002676	1.000000
5	8	0.003597	2.000000
5	9	0.004792	2.000000
5	10	0.005187	3.000000
5	11	0.004881	4.000000
5	12	0.004953	3.000000
5	13	0.004584	2.000000
5	14	0.006103	3.000000
5	15	0.007078	3.000000
5	16	0.006895	4.000000
5	17	0.006846	4.000000
5	18	0.000000	2.000000
5	19	0.000000	2.000000
5	20	0.002870	3.000000
6	0	0.000000	2.000000
6	1	0.000000	3.000000
6	2	0.000000	3.000000
6	3	0.000168	1.000000
6	4	0.000083	2.000000
6	5	0.000085	2.000000
6	6	NO TIENE
6	7	0.000000	1.000000
6	8	0.002947	1.000000
6	9	0.003700	2.000000
6	10	0.007499	2.000000
6	11	0.004788	3.000000
6	12	0.005061	3.000000
6	13	0.003159	3.000000
6	14	0.005248	2.000000
6	15	0.007327	2.000000
6	16	0.006485	3.000000
6	17	0.007237	3.000000
6	18	0.000000	2.000000
6	19	0.003839	2.000000
6	20	0.003297	2.000000
7	0	0.000000	1.000000
7	1	0.000000	2.000000
7	2	0.000000	2.000000
7	3	0.000000	2.000000
7	4	0.001837	2.000000
7	5	0.001833	1.000000
7	6	0.000000	1.000000
7	7	NO TIENE
7	8	0.000926	1.000000
7	9	0.003374	1.000000
7	10	0.004557	2.000000
7	11	0.003754	3.000000
7	12	0.003598	2.000000
7	13	0.004065	2.000000
7	14	0.001929	2.000000
7	15	0.006093	2.000000
7	16	0.003392	3.000000
7	17	0.004865	3.000000
7	18	0.000000	3.000000
7	19	0.000167	2.000000
7	20	0.000924	2.000000
8	0	0.000169	2.000000
8	1	0.000084	3.000000
8	2	0.001997	2.000000
8	3	0.003353	2.000000
8	4	0.003165	3.000000
8	5	0.002723	2.000000
8	6	0.004065	1.000000
8	7	0.000916	1.000000
8	8	NO TIENE
8	9	0.004434	2.000000
8	10	0.004953	1.000000
8	11	0.003270	2.000000
8	12	0.001522	2.000000
8	13	0.001600	2.000000
8	14	0.001843	1.000000
8	15	0.004524	1.000000
8	16	0.002992	2.000000
8	17	0.003055	2.000000
8	18	0.003363	3.000000
8	19	0.000084	1.000000
8	20	0.000000	1.000000
9	0	0.003339	2.000000
9	1	0.004397	3.000000
9	2	0.004452	3.000000
9	3	0.003771	3.000000
9	4	0.005639	3.000000
9	5	0.005191	2.000000
9	6	0.004437	2.000000
9	7	0.003075	1.000000
9	8	0.004788	2.000000
9	9	NO TIENE
9	10	0.000000	1.000000
9	11	0.000000	2.000000
9	12	0.000000	1.000000
9	13	0.000000	1.000000
9	14	0.000000	2.000000
9	15	0.007639	3.000000
9	16	0.000251	3.000000
9	17	0.000170	4.000000
9	18	0.004220	4.000000
9	19	0.004610	3.000000
9	20	0.004209	3.000000
10	0	0.004517	3.000000
10	1	0.004831	4.000000
10	2	0.005675	3.000000
10	3	0.006447	3.000000
10	4	0.005390	4.000000
10	5	0.006765	3.000000
10	6	0.006082	2.000000
10	7	0.004181	2.000000
10	8	0.003669	1.000000
10	9	0.000000	1.000000
10	10	NO TIENE
10	11	0.000000	1.000000
10	12	0.000000	2.000000
10	13	0.000000	2.000000
10	14	0.005443	2.000000
10	15	0.007499	2.000000
10	16	0.008463	3.000000
10	17	0.007704	3.000000
10	18	0.007818	4.000000
10	19	0.003437	2.000000
10	20	0.002778	2.000000
11	0	0.002671	4.000000
11	1	0.003970	5.000000
11	2	0.005336	4.000000
11	3	0.008408	4.000000
11	4	0.006043	5.000000
11	5	0.007241	4.000000
11	6	0.007867	3.000000
11	7	0.003422	3.000000
11	8	0.003403	2.000000
11	9	0.000000	2.000000
11	10	0.000000	1.000000
11	11	NO TIENE
11	12	0.000000	1.000000
11	13	0.000000	3.000000
11	14	0.000000	2.000000
11	15	0.007382	3.000000
11	16	0.000169	3.000000
11	17	0.000249	4.000000
11	18	0.007809	5.000000
11	19	0.003237	3.000000
11	20	0.003440	3.000000
12	0	0.003875	3.000000
12	1	0.003016	4.000000
12	2	0.004722	4.000000
12	3	0.006043	4.000000
12	4	0.006504	4.000000
12	5	0.006550	3.000000
12	6	0.005589	3.000000
12	7	0.003447	2.000000
12	8	0.002588	2.000000
12	9	0.000000	1.000000
12	10	0.000000	2.000000
12	11	0.000000	1.000000
12	12	NO TIENE
12	13	0.000000	2.000000
12	14	0.000000	1.000000
12	15	0.000252	3.000000
12	16	0.000421	2.000000
12	17	0.000332	3.000000
12	18	0.004764	5.000000
12	19	0.003187	3.000000
12	20	0.002054	3.000000
13	0	0.003775	1.000000
13	1	0.003913	2.000000
13	2	0.003661	2.000000
13	3	0.003859	2.000000
13	4	0.004858	3.000000
13	5	0.004790	2.000000
13	6	0.003010	3.000000
13	7	0.002752	2.000000
13	8	0.002589	2.000000
13	9	0.000000	1.000000
13	10	0.000000	2.000000
13	11	0.000000	3.000000
13	12	0.000000	2.000000
13	13	NO TIENE
13	14	0.000000	1.000000
13	15	0.000252	3.000000
13	16	0.000170	2.000000
13	17	0.000418	3.000000
13	18	0.004618	3.000000
13	19	0.003847	2.000000
13	20	0.002243	3.000000
14	0	0.004148	2.000000
14	1	0.004427	3.000000
14	2	0.004769	3.000000
14	3	0.004033	3.000000
14	4	0.003521	4.000000
14	5	0.004241	3.000000
14	6	0.007102	2.000000
14	7	0.002702	2.000000
14	8	0.002760	1.000000
14	9	0.000000	2.000000
14	10	0.004378	2.000000
14	11	0.000000	2.000000
14	12	0.000000	1.000000
14	13	0.000000	1.000000
14	14	NO TIENE
14	15	0.000253	2.000000
14	16	0.000334	1.000000
14	17	0.000000	2.000000
14	18	0.006371	4.000000
14	19	0.002496	2.000000
14	20	0.001186	2.000000
15	0	0.002013	3.000000
15	1	0.004012	4.000000
15	2	0.005777	3.000000
15	3	0.006057	3.000000
15	4	0.006150	4.000000
15	5	0.007666	3.000000
15	6	0.007136	2.000000
15	7	0.006135	2.000000
15	8	0.004568	1.000000
15	9	0.008537	3.000000
15	10	0.008260	2.000000
15	11	0.006299	3.000000
15	12	0.000420	3.000000
15	13	0.000084	3.000000
15	14	0.000166	2.000000
15	15	NO TIENE
15	16	0.000000	1.000000
15	17	0.000000	1.000000
15	18	0.004325	4.000000
