********************************************************
RED:EuroCore.rut
********************************************************
********************************************************
Probablidad de Bloqueo por usuario con 8 Long. de Onda:
********************************************************
Origen	Destino	Prob.Bloqueo
********************************************************
0	0	NO TIENE
0	1	0.000000
0	2	0.000000
0	3	0.000000
0	4	0.000000
0	5	0.000000
0	6	0.000000
0	7	0.000000
0	8	0.000000
0	9	0.000000
0	10	0.000000
0	11	0.000000
1	0	0.000000
1	1	NO TIENE
1	2	0.000000
1	3	0.000000
1	4	0.000000
1	5	0.000000
1	6	0.000000
1	7	0.000000
1	8	0.000000
1	9	0.000000
1	10	0.000000
1	11	0.000000
2	0	0.000000
2	1	0.000000
2	2	NO TIENE
2	3	0.000000
2	4	0.000000
2	5	0.000000
2	6	0.000000
2	7	0.000000
2	8	0.000000
2	9	0.000000
2	10	0.000000
2	11	0.000000
3	0	0.000000
3	1	0.000000
3	2	0.000000
3	3	NO TIENE
3	4	0.000000
3	5	0.000000
3	6	0.000000
3	7	0.000000
3	8	0.000000
3	9	0.000000
3	10	0.000000
3	11	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	NO TIENE
4	5	0.000000
4	6	0.000000
4	7	0.000000
4	8	0.000000
4	9	0.000000
4	10	0.000000
4	11	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	NO TIENE
5	6	0.000000
5	7	0.000000
5	8	0.000000
5	9	0.000000
5	10	0.000000
5	11	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	0.000000
6	6	NO TIENE
6	7	0.000000
6	8	0.000000
6	9	0.000000
6	10	0.000000
6	11	0.000000
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	0.000000
7	5	0.000000
7	6	0.000000
7	7	NO TIENE
7	8	0.000000
7	9	0.000000
7	10	0.000000
7	11	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.000000
8	6	0.000000
8	7	0.000000
8	8	NO TIENE
8	9	0.000000
8	10	0.000000
8	11	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.000000
9	8	0.000000
9	9	NO TIENE
9	10	0.000000
9	11	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.000000
10	5	0.000000
10	6	0.000000
10	7	0.000000
10	8	0.000000
10	9	0.000000
10	10	NO TIENE
10	11	1.000000
11	0	1.000000
11	1	NO REALIZO ENVIOS
11	2	NO REALIZO ENVIOS
11	3	NO REALIZO ENVIOS
11	4	NO REALIZO ENVIOS
11	5	NO REALIZO ENVIOS
11	6	NO REALIZO ENVIOS
11	7	NO REALIZO ENVIOS
11	8	NO REALIZO ENVIOS
11	9	NO REALIZO ENVIOS
11	10	NO REALIZO ENVIOS
11	11	NO TIENE
********************************************************
Probablidad de Bloqueo por usuario con 7 Long. de Onda:
********************************************************
Origen	Destino	Prob.Bloqueo
********************************************************
0	0	NO TIENE
0	1	0.000000
0	2	0.000220
0	3	0.000308
0	4	0.000418
0	5	0.000243
0	6	0.000000
0	7	0.000329
0	8	0.000309
0	9	0.000198
0	10	0.000263
0	11	0.000000
1	0	0.000000
1	1	NO TIENE
1	2	0.000132
1	3	0.000066
1	4	0.000242
1	5	0.000198
1	6	0.000000
1	7	0.000331
1	8	0.000088
1	9	0.000440
1	10	0.000417
1	11	0.000132
2	0	0.000132
2	1	0.000220
2	2	NO TIENE
2	3	0.000221
2	4	0.000000
2	5	0.000351
2	6	0.000199
2	7	0.000000
2	8	0.000000
2	9	0.000198
2	10	0.000329
2	11	0.000332
3	0	0.000332
3	1	0.000133
3	2	0.000154
3	3	NO TIENE
3	4	0.000000
3	5	0.000110
3	6	0.000395
3	7	0.000000
3	8	0.000000
3	9	0.000154
3	10	0.000240
3	11	0.000377
4	0	0.000377
4	1	0.000155
4	2	0.000000
4	3	0.000000
4	4	NO TIENE
4	5	0.000176
4	6	0.000418
4	7	0.000594
4	8	0.000000
4	9	0.000461
4	10	0.000397
4	11	0.000242
5	0	0.000242
5	1	0.000198
5	2	0.000373
5	3	0.000286
5	4	0.000155
5	5	NO TIENE
5	6	0.000000
5	7	0.000439
5	8	0.000110
5	9	0.000132
5	10	0.000000
5	11	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000155
6	3	0.000349
6	4	0.000264
6	5	0.000000
6	6	NO TIENE
6	7	0.000153
6	8	0.000418
6	9	0.000132
6	10	0.000087
6	11	0.000109
7	0	0.000109
7	1	0.000286
7	2	0.000000
7	3	0.000000
7	4	0.000466
7	5	0.000352
7	6	0.000353
7	7	NO TIENE
7	8	0.000000
7	9	0.000088
7	10	0.000418
7	11	0.000088
8	0	0.000088
8	1	0.000199
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.000241
8	6	0.000398
8	7	0.000000
8	8	NO TIENE
8	9	0.000220
8	10	0.000465
8	11	0.000219
9	0	0.000219
9	1	0.000483
9	2	0.000154
9	3	0.000154
9	4	0.000286
9	5	0.000109
9	6	0.000154
9	7	0.000132
9	8	0.000242
9	9	NO TIENE
9	10	0.000307
9	11	0.000218
10	0	0.000218
10	1	0.000441
10	2	0.000506
10	3	0.000285
10	4	0.000219
10	5	0.000000
10	6	0.000264
10	7	0.000506
10	8	0.000330
10	9	0.000221
10	10	NO TIENE
10	11	0.000000
11	0	0.000000
11	1	NO REALIZO ENVIOS
11	2	NO REALIZO ENVIOS
11	3	0.000000
11	4	0.000000
11	5	0.000000
11	6	0.000000
11	7	NO REALIZO ENVIOS
11	8	0.000000
11	9	0.000000
11	10	0.000000
11	11	NO TIENE
********************************************************
Probablidad de Bloqueo por usuario con 6 Long. de Onda:
********************************************************
Origen	Destino	Prob.Bloqueo
********************************************************
0	0	NO TIENE
0	1	0.000000
0	2	0.003430
0	3	0.006744
0	4	0.007508
0	5	0.003046
0	6	0.000000
0	7	0.003322
0	8	0.002972
0	9	0.003018
0	10	0.003295
0	11	0.000000
1	0	0.000000
1	1	NO TIENE
1	2	0.004105
1	3	0.003456
1	4	0.003049
1	5	0.003829
1	6	0.000000
1	7	0.003509
1	8	0.003543
1	9	0.006788
1	10	0.006596
1	11	0.003243
2	0	0.003243
2	1	0.003035
2	2	NO TIENE
2	3	0.003855
2	4	0.000000
2	5	0.006403
2	6	0.003454
2	7	0.000000
2	8	0.000000
2	9	0.003246
2	10	0.007005
2	11	0.006287
3	0	0.006287
3	1	0.004070
3	2	0.003353
3	3	NO TIENE
3	4	0.000000
3	5	0.003065
3	6	0.007110
3	7	0.000000
3	8	0.000000
3	9	0.003296
3	10	0.003445
3	11	0.006522
4	0	0.006522
4	1	0.003333
4	2	0.000000
4	3	0.000000
4	4	NO TIENE
4	5	0.003526
4	6	0.005586
4	7	0.006818
4	8	0.000000
4	9	0.007059
4	10	0.002921
4	11	0.003532
5	0	0.003532
5	1	0.003285
5	2	0.006090
5	3	0.003477
5	4	0.003705
5	5	NO TIENE
5	6	0.000000
5	7	0.006002
5	8	0.003459
5	9	0.003189
5	10	0.000000
5	11	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.003443
6	3	0.007226
6	4	0.006770
6	5	0.000000
6	6	NO TIENE
6	7	0.002982
6	8	0.007417
6	9	0.003350
6	10	0.003265
6	11	0.003279
7	0	0.003279
7	1	0.003641
7	2	0.000000
7	3	0.000000
7	4	0.007341
7	5	0.006471
7	6	0.003247
7	7	NO TIENE
7	8	0.000000
7	9	0.003568
7	10	0.006368
7	11	0.003657
8	0	0.003657
8	1	0.003903
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.003302
8	6	0.007234
8	7	0.000000
8	8	NO TIENE
8	9	0.003872
8	10	0.007027
8	11	0.003548
9	0	0.003548
9	1	0.006374
9	2	0.003560
9	3	0.003394
9	4	0.006927
9	5	0.003728
9	6	0.003262
9	7	0.003642
9	8	0.003247
9	9	NO TIENE
9	10	0.003744
9	11	0.003003
10	0	0.003003
10	1	0.006751
10	2	0.006471
10	3	0.003134
10	4	0.003407
10	5	0.000000
10	6	0.004244
10	7	0.006483
10	8	0.006281
10	9	0.003287
10	10	NO TIENE
10	11	0.000000
11	0	0.000000
11	1	NO REALIZO ENVIOS
11	2	NO REALIZO ENVIOS
11	3	0.000000
11	4	0.000000
11	5	0.000000
11	6	0.000000
11	7	NO REALIZO ENVIOS
11	8	0.000000
11	9	0.000000
11	10	0.000000
11	11	NO TIENE
